datetime,symbol,open,high,low,close,volume,year_month
2025-10-01 00:00:00,CME_MINI:ES1!,6723.5,6724.0,6722.25,6722.5,253.0,2025-10
2025-10-01 00:01:00,CME_MINI:ES1!,6722.75,6724.5,6722.5,6723.75,117.0,2025-10
2025-10-01 00:02:00,CME_MINI:ES1!,6723.75,6723.75,6723.0,6723.0,45.0,2025-10
2025-10-01 00:03:00,CME_MINI:ES1!,6723.25,6723.25,6722.0,6722.5,90.0,2025-10
2025-10-01 00:04:00,CME_MINI:ES1!,6722.5,6723.75,6722.5,6723.5,53.0,2025-10
2025-10-01 00:05:00,CME_MINI:ES1!,6723.75,6725.0,6723.75,6724.5,76.0,2025-10
2025-10-01 00:06:00,CME_MINI:ES1!,6724.5,6724.75,6724.25,6724.5,48.0,2025-10
2025-10-01 00:07:00,CME_MINI:ES1!,6724.0,6724.0,6722.75,6723.0,84.0,2025-10
2025-10-01 00:08:00,CME_MINI:ES1!,6723.0,6723.0,6722.5,6722.5,58.0,2025-10
2025-10-01 00:09:00,CME_MINI:ES1!,6722.75,6722.75,6722.5,6722.75,51.0,2025-10
2025-10-01 00:10:00,CME_MINI:ES1!,6723.0,6723.5,6721.5,6721.5,133.0,2025-10
2025-10-01 00:11:00,CME_MINI:ES1!,6721.5,6721.75,6720.5,6720.5,171.0,2025-10
2025-10-01 00:12:00,CME_MINI:ES1!,6720.75,6721.75,6720.75,6721.5,110.0,2025-10
2025-10-01 00:13:00,CME_MINI:ES1!,6721.5,6721.5,6721.0,6721.5,104.0,2025-10
2025-10-01 00:14:00,CME_MINI:ES1!,6721.5,6721.75,6721.0,6721.5,149.0,2025-10
2025-10-01 00:15:00,CME_MINI:ES1!,6721.5,6721.5,6717.75,6718.0,729.0,2025-10
2025-10-01 00:16:00,CME_MINI:ES1!,6718.0,6718.0,6716.5,6717.25,477.0,2025-10
2025-10-01 00:17:00,CME_MINI:ES1!,6717.25,6718.0,6717.0,6717.0,250.0,2025-10
2025-10-01 00:18:00,CME_MINI:ES1!,6716.75,6717.0,6716.0,6716.5,289.0,2025-10
2025-10-01 00:19:00,CME_MINI:ES1!,6716.25,6716.75,6716.0,6716.5,196.0,2025-10
2025-10-01 00:20:00,CME_MINI:ES1!,6716.25,6716.5,6714.5,6716.25,370.0,2025-10
2025-10-01 00:21:00,CME_MINI:ES1!,6716.0,6716.5,6715.5,6716.0,215.0,2025-10
2025-10-01 00:22:00,CME_MINI:ES1!,6716.25,6716.5,6715.75,6716.25,127.0,2025-10
2025-10-01 00:23:00,CME_MINI:ES1!,6716.25,6716.25,6715.5,6715.5,172.0,2025-10
