datetime,symbol,open,high,low,close,volume,year_month
2026-08-02 22:00:00,CME_MINI:NQ1!,28565.0,28630.0,28549.25,28608.5,1929.0,2026-08
2026-08-02 22:01:00,CME_MINI:NQ1!,28605.75,28627.75,28590.5,28603.5,592.0,2026-08
2026-08-02 22:02:00,CME_MINI:NQ1!,28607.5,28622.0,28601.0,28605.0,331.0,2026-08
2026-08-02 22:03:00,CME_MINI:NQ1!,28604.0,28620.25,28600.0,28615.0,363.0,2026-08
2026-08-02 22:04:00,CME_MINI:NQ1!,28615.25,28621.0,28601.5,28615.25,152.0,2026-08
2026-08-02 22:05:00,CME_MINI:NQ1!,28615.5,28616.25,28596.75,28601.75,267.0,2026-08
2026-08-02 22:06:00,CME_MINI:NQ1!,28598.75,28612.5,28598.75,28604.0,93.0,2026-08
2026-08-02 22:07:00,CME_MINI:NQ1!,28603.75,28603.75,28585.0,28596.75,202.0,2026-08
2026-08-02 22:08:00,CME_MINI:NQ1!,28596.75,28599.25,28585.0,28588.0,135.0,2026-08
2026-08-02 22:09:00,CME_MINI:NQ1!,28589.5,28603.75,28582.0,28601.25,203.0,2026-08
2026-08-02 22:10:00,CME_MINI:NQ1!,28601.0,28612.5,28599.25,28608.0,146.0,2026-08
2026-08-02 22:11:00,CME_MINI:NQ1!,28607.75,28619.25,28606.25,28619.25,223.0,2026-08
2026-08-02 22:12:00,CME_MINI:NQ1!,28617.5,28635.0,28614.5,28635.0,287.0,2026-08
2026-08-02 22:13:00,CME_MINI:NQ1!,28634.5,28641.25,28633.25,28635.5,225.0,2026-08
2026-08-02 22:14:00,CME_MINI:NQ1!,28636.25,28639.0,28622.25,28623.0,184.0,2026-08
2026-08-02 22:15:00,CME_MINI:NQ1!,28624.0,28630.25,28615.0,28627.75,172.0,2026-08
2026-08-02 22:16:00,CME_MINI:NQ1!,28626.5,28627.25,28619.5,28624.25,131.0,2026-08
2026-08-02 22:17:00,CME_MINI:NQ1!,28622.0,28631.5,28615.5,28620.5,141.0,2026-08
2026-08-02 22:18:00,CME_MINI:NQ1!,28618.75,28620.0,28590.0,28590.0,193.0,2026-08
2026-08-02 22:19:00,CME_MINI:NQ1!,28591.75,28599.75,28582.0,28595.75,301.0,2026-08
2026-08-02 22:20:00,CME_MINI:NQ1!,28596.75,28629.75,28596.75,28623.75,329.0,2026-08
2026-08-02 22:21:00,CME_MINI:NQ1!,28623.5,28629.75,28619.25,28625.5,166.0,2026-08
2026-08-02 22:22:00,CME_MINI:NQ1!,28625.0,28632.5,28622.0,28628.25,151.0,2026-08
2026-08-02 22:23:00,CME_MINI:NQ1!,28629.0,28629.75,28617.0,28626.5,262.0,2026-08
2026-08-02 22:24:00,CME_MINI:NQ1!,28626.5,28629.0,28611.5,28612.5,192.0,2026-08
2026-08-02 22:25:00,CME_MINI:NQ1!,28612.25,28619.5,28612.25,28615.5,93.0,2026-08
2026-08-02 22:26:00,CME_MINI:NQ1!,28616.0,28617.0,28600.25,28604.0,153.0,2026-08
2026-08-02 22:27:00,CME_MINI:NQ1!,28602.25,28621.5,28600.75,28620.75,164.0,2026-08
2026-08-02 22:28:00,CME_MINI:NQ1!,28622.25,28629.25,28609.0,28628.5,140.0,2026-08
2026-08-02 22:29:00,CME_MINI:NQ1!,28628.0,28628.25,28611.0,28613.5,104.0,2026-08
2026-08-02 22:30:00,CME_MINI:NQ1!,28615.25,28620.0,28610.25,28619.0,92.0,2026-08
2026-08-02 22:31:00,CME_MINI:NQ1!,28619.75,28621.75,28613.0,28614.75,58.0,2026-08
2026-08-02 22:32:00,CME_MINI:NQ1!,28616.25,28623.75,28607.5,28612.0,110.0,2026-08
2026-08-02 22:33:00,CME_MINI:NQ1!,28614.25,28617.5,28609.5,28616.25,61.0,2026-08
2026-08-02 22:34:00,CME_MINI:NQ1!,28616.75,28619.5,28613.0,28613.5,44.0,2026-08
2026-08-02 22:35:00,CME_MINI:NQ1!,28612.75,28622.5,28611.0,28622.0,75.0,2026-08
2026-08-02 22:36:00,CME_MINI:NQ1!,28619.5,28619.5,28611.75,28616.0,56.0,2026-08
2026-08-02 22:37:00,CME_MINI:NQ1!,28615.25,28617.0,28611.0,28613.75,46.0,2026-08
2026-08-02 22:38:00,CME_MINI:NQ1!,28613.0,28616.0,28610.0,28610.5,96.0,2026-08
2026-08-02 22:39:00,CME_MINI:NQ1!,28610.0,28620.0,28609.75,28614.5,68.0,2026-08
2026-08-02 22:40:00,CME_MINI:NQ1!,28613.0,28622.0,28602.25,28619.75,171.0,2026-08
2026-08-02 22:41:00,CME_MINI:NQ1!,28620.5,28620.5,28609.0,28610.0,74.0,2026-08
2026-08-02 22:42:00,CME_MINI:NQ1!,28611.25,28611.25,28594.25,28599.25,221.0,2026-08
2026-08-02 22:43:00,CME_MINI:NQ1!,28599.0,28604.25,28596.0,28600.0,103.0,2026-08
2026-08-02 22:44:00,CME_MINI:NQ1!,28600.25,28605.0,28599.75,28600.25,50.0,2026-08
2026-08-02 22:45:00,CME_MINI:NQ1!,28599.5,28605.0,28593.25,28601.25,108.0,2026-08
2026-08-02 22:46:00,CME_MINI:NQ1!,28600.75,28604.25,28600.0,28600.0,59.0,2026-08
2026-08-02 22:47:00,CME_MINI:NQ1!,28599.75,28600.75,28595.75,28599.0,49.0,2026-08
2026-08-02 22:48:00,CME_MINI:NQ1!,28599.5,28600.0,28587.5,28589.5,109.0,2026-08
2026-08-02 22:49:00,CME_MINI:NQ1!,28591.75,28592.5,28587.25,28587.25,51.0,2026-08
2026-08-02 22:50:00,CME_MINI:NQ1!,28589.25,28592.75,28585.75,28588.25,79.0,2026-08
2026-08-02 22:51:00,CME_MINI:NQ1!,28588.25,28591.75,28585.5,28586.25,50.0,2026-08
2026-08-02 22:52:00,CME_MINI:NQ1!,28589.5,28589.75,28584.0,28584.5,90.0,2026-08
2026-08-02 22:53:00,CME_MINI:NQ1!,28583.75,28592.25,28583.0,28590.5,58.0,2026-08
2026-08-02 22:54:00,CME_MINI:NQ1!,28591.25,28591.5,28581.5,28585.0,52.0,2026-08
2026-08-02 22:55:00,CME_MINI:NQ1!,28585.75,28592.0,28583.5,28587.0,56.0,2026-08
2026-08-02 22:56:00,CME_MINI:NQ1!,28587.75,28588.75,28582.25,28587.5,27.0,2026-08
2026-08-02 22:57:00,CME_MINI:NQ1!,28587.75,28588.5,28580.25,28582.75,54.0,2026-08
2026-08-02 22:58:00,CME_MINI:NQ1!,28581.5,28582.75,28560.25,28565.75,227.0,2026-08
2026-08-02 22:59:00,CME_MINI:NQ1!,28564.25,28579.5,28563.25,28570.25,207.0,2026-08
2026-08-02 23:00:00,CME_MINI:NQ1!,28568.75,28576.0,28567.5,28571.5,57.0,2026-08
2026-08-02 23:01:00,CME_MINI:NQ1!,28574.0,28591.0,28573.75,28587.0,229.0,2026-08
2026-08-02 23:02:00,CME_MINI:NQ1!,28585.75,28585.75,28579.25,28585.0,101.0,2026-08
2026-08-02 23:03:00,CME_MINI:NQ1!,28583.75,28590.5,28571.75,28572.5,137.0,2026-08
2026-08-02 23:04:00,CME_MINI:NQ1!,28573.0,28578.25,28570.75,28576.25,93.0,2026-08
2026-08-02 23:05:00,CME_MINI:NQ1!,28578.0,28578.5,28572.0,28573.5,43.0,2026-08
2026-08-02 23:06:00,CME_MINI:NQ1!,28573.5,28589.0,28569.5,28583.75,174.0,2026-08
2026-08-02 23:07:00,CME_MINI:NQ1!,28583.25,28583.25,28570.5,28572.5,81.0,2026-08
2026-08-02 23:08:00,CME_MINI:NQ1!,28570.0,28570.0,28556.25,28557.5,234.0,2026-08
2026-08-02 23:09:00,CME_MINI:NQ1!,28558.0,28559.75,28552.75,28553.5,131.0,2026-08
2026-08-02 23:10:00,CME_MINI:NQ1!,28553.5,28556.5,28552.25,28555.25,47.0,2026-08
2026-08-02 23:11:00,CME_MINI:NQ1!,28556.25,28558.25,28545.25,28546.25,166.0,2026-08
2026-08-02 23:12:00,CME_MINI:NQ1!,28547.75,28564.0,28545.0,28560.5,222.0,2026-08
2026-08-02 23:13:00,CME_MINI:NQ1!,28561.0,28563.75,28555.5,28562.25,73.0,2026-08
2026-08-02 23:14:00,CME_MINI:NQ1!,28561.0,28565.75,28555.75,28556.75,71.0,2026-08
2026-08-02 23:15:00,CME_MINI:NQ1!,28556.25,28565.75,28556.25,28561.25,52.0,2026-08
2026-08-02 23:16:00,CME_MINI:NQ1!,28562.75,28563.25,28560.5,28561.0,26.0,2026-08
2026-08-02 23:17:00,CME_MINI:NQ1!,28560.0,28561.5,28553.0,28558.5,107.0,2026-08
2026-08-02 23:18:00,CME_MINI:NQ1!,28558.75,28562.25,28554.0,28561.5,61.0,2026-08
2026-08-02 23:19:00,CME_MINI:NQ1!,28562.25,28562.5,28557.75,28561.0,37.0,2026-08
2026-08-02 23:20:00,CME_MINI:NQ1!,28562.75,28564.0,28558.0,28559.75,32.0,2026-08
2026-08-02 23:21:00,CME_MINI:NQ1!,28558.5,28563.75,28555.0,28561.75,60.0,2026-08
